Year,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
2015,42,El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776
2015,43,Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472
2015,44,Uzbekistan,6.003,0.63244,1.34043,0.59772,0.65821,0.22837,0.30826
2015,45,Slovakia,5.995,1.16891,1.26999,0.78902,0.31751,0.16893,0.03431
2015,46,Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.10705,0.1806
2015,47,South Korea,5.984,1.24461,0.95774,0.96538,0.33208,0.18557,0.07857
2015,48,Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.11541,0.1809
2015,49,Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.17362,0.306
2015,50,Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.22823,0.02901
2015,51,Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.20536,0.088
2015,52,Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.20951,0.01615
2015,53,Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.3424,0.08242
2015,54,Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.11827,0.08454
2015,55,Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.25328,0.03787
2015,56,Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.02641,0.01031
2015,57,Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.27815,0.19317
2015,58,Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.14982,0.05989
2015,59,Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.11046,0.1909
2015,60,Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.16759,0.04212
2015,61,Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.33075,0.10501
2015,62,Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.05444,0.0243
2015,63,Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.18295,0.11023
2015,64,Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.00199,0.03005
2015,65,Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.2123,0.02299
2015,66,North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.26169,0.1428
2015,67,Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.30638,0.06146
2015,68,Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.07822,0.17383
2015,69,Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.2831,0.04741
2015,70,Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.16979,0.30844
2015,71,Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.37744,0.07521
2015,72,Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.39478,0.37124
2015,73,Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.0868,0.15184
2015,74,Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0.51535,0
2015,75,Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.1686,0.10441
2015,76,Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.12253,0.15746
2015,77,Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.3003,0.04232
2015,78,Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.27233,0.0403
2015,79,Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.47998,0.15445
2015,80,Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.07799,0.16065
2015,81,Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.33671,0.10464
2015,82,Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.11053,0.14293
2015,82,Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.1614,0.14296
2015,84,China,5.14,0.89012,0.94675,0.81658,0.51697,0.08185,0.02781
2015,85,Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468
2015,86,Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.13748,0.00649
2015,87,Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.19231,0.02617
2015,88,Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.13719,0.01078
2015,89,Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.18226,0.06332
2015,90,Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.24991,0.12279
2015,91,Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.50318,0.39928
2015,92,Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.07172,0.08546
2015,93,Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.22359,0.05327
2015,94,Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.22269,0.15603
2015,95,Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.14272,0.06413
2015,96,Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.24808,0.00227
2015,97,Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.16388,0.12504
2015,98,Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.21684,0.14234
2015,99,Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.42192,0.24249
2015,100,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.02666
2015,101,Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306
2015,102,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0,0.01397
2015,103,Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582
2015,104,Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758
2015,105,Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825
2015,106,Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.22974,0.15072
2015,107,Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358
2015,108,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905
2015,109,Bangladesh,4.694,0.39753,0.43106,0.60164,0.4082,0.21222,0.12569
2015,110,Iran,4.686,1.0088,0.54447,0.69805,0.30033,0.38086,0.05863
2015,111,Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961
2015,112,Iraq,4.677,0.98549,0.81889,0.60237,0,0.17922,0.13788
2015,113,South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884
2015,114,Ghana,4.633,0.54558,0.67954,0.40132,0.42342,0.23087,0.04355
2015,115,Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079
2015,116,Liberia,4.571,0.0712,0.78968,0.34201,0.28531,0.24362,0.06232
2015,117,India,4.565,0.64499,0.38174,0.51529,0.39786,0.26475,0.08492
2015,118,Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466
2015,119,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175
2015,120,Congo (Kinshasa),4.517,0,1.0012,0.09806,0.22605,0.24834,0.07625
2015,121,Nepal,4.514,0.35997,0.86449,0.56874,0.38282,0.32296,0.05907
2015,122,Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048
2015,123,Sierra Leone,4.507,0.33024,0.95571,0,0.4084,0.21488,0.08786
2015,124,Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461
2015,125,Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839
2015,126,Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105
2015,127,Armenia,4.35,0.76821,0.77711,0.7299,0.19847,0.07855,0.039
2015,128,Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474
2015,129,Myanmar,4.307,0.27108,0.70905,0.48246,0.44017,0.79588,0.19034
2015,130,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.05547,0.38331
2015,131,Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.33128,0.06977
2015,132,Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.40828,0.09179
2015,133,Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.20618,0.05786
2015,134,Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872
2015,135,Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324
2015,136,Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854
2015,137,Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.12344,0.07122
2015,138,Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352
2015,139,Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686
2015,140,Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.17441,0.199
2015,141,Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267
2015,142,Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.20843,0.10713
2015,143,Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.06822,0.11091
2015,144,Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639
2015,145,Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247
2015,146,Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.05747
2015,147,Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08124
2015,148,Central African Republic,3.678,0.0785,0,0.06699,0.48879,0.23835,0.08289
2015,149,Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269
2015,150,Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139
2015,151,Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922
2015,152,Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832
2015,153,Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719
2015,154,Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.22628,0.55191
2015,155,Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801
2015,156,Syria,3.006,0.6632,0.47489,0.72193,0.15684,0.47179,0.18906
2015,157,Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062
2015,158,Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731
2017,1,Norway,7.537000179,1.616463184,1.53352356,0.796666503,0.6354225874,0.3620122373,0.3159638345
2017,2,Denmark,7.521999836,1.482383013,1.551121593,0.7925655246,0.6260067225,0.3552804887,0.4007700682
2017,3,Iceland,7.504000187,1.48063302,1.610574007,0.8335521221,0.6271626353,0.4755402207,0.1535265595
2017,4,Switzerland,7.493999958,1.564979553,1.516911745,0.8581312895,0.6200705767,0.2905492783,0.3670072854
2017,5,Finland,7.468999863,1.443571925,1.540246725,0.8091576695,0.6179508567,0.2454827726,0.3826115429
2017,6,Netherlands,7.376999855,1.503944635,1.428939223,0.810696125,0.5853844881,0.4704898298,0.2826618254
2017,7,Canada,7.315999985,1.479204416,1.481348991,0.8345576525,0.6111009121,0.4355397224,0.2873715162
2017,8,New Zealand,7.31400013,1.405706048,1.548195124,0.8167597055,0.6140621305,0.500005126,0.3828167021
2017,9,Sweden,7.28399992,1.494387269,1.478162169,0.8308751583,0.612924099,0.3853992522,0.3843987286
2017,10,Australia,7.28399992,1.484414935,1.510041952,0.8438867927,0.6016073823,0.47769925,0.3011837304
2017,11,Israel,7.212999821,1.375382423,1.376289964,0.8384039998,0.4059886038,0.330082655,0.08524210006
2017,12,Costa Rica,7.078999996,1.109706283,1.416403651,0.7595092654,0.58013165,0.214613229,0.1001065895
2017,13,Austria,7.006000042,1.487097263,1.459944963,0.8153284192,0.5677661896,0.3164723217,0.2210603654
2017,14,United States,6.993000031,1.546259284,1.419920564,0.7742866278,0.5057405233,0.3925787807,0.1356387883
2017,15,Ireland,6.977000237,1.535706639,1.558231115,0.8097826242,0.573110342,0.4278583229,0.2983881533
2017,16,Germany,6.951000214,1.487923384,1.472520351,0.7989507318,0.5625113845,0.33626917,0.2767319381
2017,17,Belgium,6.890999794,1.463780761,1.462312698,0.8180918694,0.5397707224,0.2315033376,0.2513431311
2017,18,Luxembourg,6.862999916,1.741943598,1.457583666,0.8450894952,0.5966278911,0.2831809819,0.318834424
2017,19,United Kingdom,6.714000225,1.44163394,1.49646008,0.8053359389,0.5081900358,0.4927741587,0.2654280663
2017,20,Chile,6.65199995,1.25278461,1.284024954,0.8194797039,0.3768952787,0.3266624212,0.08228798211
2017,21,United Arab Emirates,6.647999763,1.626343369,1.266410232,0.7267982364,0.6083452702,0.3609419465,0.3244895637
2017,22,Brazil,6.635000229,1.10735321,1.431306005,0.6165523529,0.4374537468,0.1623498946,0.1110927612
2017,23,Czech Republic,6.609000206,1.352682352,1.433885217,0.7544440031,0.4909461737,0.08810675889,0.0368729271
2017,24,Argentina,6.598999977,1.185295463,1.440451145,0.6951370835,0.4945192039,0.1094570607,0.05973988771
2017,25,Mexico,6.578000069,1.153183818,1.21086216,0.7099789977,0.4127300084,0.1209904328,0.1327741146
2017,26,Singapore,6.572000027,1.69227767,1.353814363,0.9494923949,0.5498405695,0.3459659815,0.464307785
2017,27,Malta,6.52699995,1.343279839,1.488411665,0.8219442368,0.5887670517,0.5747305751,0.1530660689
2017,28,Uruguay,6.453999996,1.217559695,1.412227869,0.7192168236,0.5793922544,0.1750969291,0.1780618727
2017,29,Guatemala,6.453999996,0.872001946,1.255585194,0.5402399898,0.5313106179,0.2834883928,0.07722327858
2017,30,Panama,6.452000141,1.233748436,1.373192549,0.7061561346,0.550026834,0.2105569392,0.07098392397
2017,31,France,6.441999912,1.430923462,1.387776852,0.8444658518,0.4702221155,0.1297623068,0.1725024283
2017,32,Thailand,6.423999786,1.127868772,1.425792456,0.6472390294,0.5802007318,0.5721231103,0.03161273524
2017,33,Taiwan Province of China,6.421999931,1.433626533,1.384565353,0.7939842343,0.3614665866,0.2583604753,0.06382923573
2017,34,Spain,6.402999878,1.384397864,1.532090902,0.8889605999,0.4087812304,0.1901335716,0.07091409713
2017,35,Qatar,6.375,1.870765686,1.27429688,0.7100980878,0.6041309834,0.33047387,0.4392992556
2017,36,Colombia,6.356999874,1.070622325,1.402182937,0.5950279236,0.4774874151,0.149014473,0.04666874185
2017,37,Saudi Arabia,6.343999863,1.530623555,1.286677599,0.5901483297,0.4497505724,0.1476160139,0.2734322548
2017,38,Trinidad and Tobago,6.168000221,1.361355901,1.380228519,0.5199832916,0.518630743,0.3252964616,0.008964816108
2017,39,Kuwait,6.105000019,1.632952452,1.259698749,0.6321057081,0.4963375926,0.2282897979,0.2151595503
2017,40,Slovakia,6.09800005,1.325393558,1.505059242,0.7127329111,0.2958174646,0.1365444809,0.02421085164
2017,41,Bahrain,6.086999893,1.488412261,1.323110461,0.6531330347,0.5367469192,0.1726684868,0.2570421696
2017,42,Malaysia,6.084000111,1.29121542,1.284646034,0.6187844276,0.4022649825,0.4166089296,0.06560070813
2017,43,Nicaragua,6.071000099,0.7372992039,1.28721571,0.6530959606,0.4475518465,0.301674217,0.1306879818
2017,44,Ecuador,6.007999897,1.000820398,1.286168814,0.6856362224,0.4551981986,0.150112465,0.1401346475
2017,45,El Salvador,6.002999783,0.9097844958,1.182125092,0.5960185528,0.4324525297,0.07825798541,0.08998095989
2017,46,Poland,5.97300005,1.291787863,1.44571197,0.699475348,0.5203421116,0.1584659666,0.05930780619
2017,47,Uzbekistan,5.971000195,0.7864410877,1.54896915,0.4982726276,0.6582486629,0.4159836471,0.2465282232
2017,48,Italy,5.964000225,1.395066619,1.444923282,0.8531443477,0.2564507127,0.1727896482,0.02802809142
2017,49,Russia,5.962999821,1.281778097,1.469282389,0.5473493338,0.3737831116,0.05226382241,0.03296288103
2017,50,Belize,5.955999851,0.907975316,1.081417799,0.450191766,0.5475093722,0.2400156409,0.09658107162
2017,51,Japan,5.920000076,1.416915178,1.436337829,0.9134758711,0.505625546,0.1205727682,0.1637607366
2017,52,Lithuania,5.90199995,1.314582348,1.473516107,0.6289499402,0.2342317849,0.01016465668,0.01186564285
2017,53,Algeria,5.872000217,1.091864467,1.146217465,0.6175846457,0.2333358079,0.069436647,0.1460961103
2017,54,Latvia,5.849999905,1.260748625,1.404714942,0.6385669708,0.3257079124,0.1530747861,0.07384272665
2017,55,South Korea,5.837999821,1.401678443,1.128274441,0.900214076,0.2579216659,0.2066743672,0.06328266859
2017,56,Moldova,5.837999821,0.7288706303,1.251825571,0.5894652009,0.2407290488,0.2087791264,0.01009128615
2017,57,Romania,5.824999809,1.217683911,1.15009129,0.6851583123,0.4570037425,0.1335199177,0.004387900699
2017,58,Bolivia,5.822999954,0.833756566,1.227619052,0.4736302495,0.5587329268,0.2255607247,0.06047772616
2017,59,Turkmenistan,5.822000027,1.130776763,1.493149161,0.4377260804,0.418271929,0.2499249876,0.2592703402
2017,60,Kazakhstan,5.818999767,1.28455627,1.384369016,0.6060415506,0.4374542832,0.2019644231,0.1192828864
2017,61,North Cyprus,5.809999943,1.346911311,1.186303377,0.8346472383,0.4712036252,0.2668457031,0.1553533524
2017,62,Slovenia,5.757999897,1.341205955,1.452518821,0.790828228,0.5725758076,0.2426490933,0.04512897879
2017,63,Peru,5.715000153,1.035225272,1.218770385,0.6301661134,0.4500028789,0.1268197149,0.04704908654
2017,64,Mauritius,5.629000187,1.189395547,1.20956099,0.638007462,0.4912473261,0.3609337509,0.04218155518
2017,65,Cyprus,5.620999813,1.355938077,1.131363273,0.8447147012,0.3551115394,0.2712543011,0.0412379764
2017,66,Estonia,5.611000061,1.32087934,1.4766711,0.6951683164,0.4791314304,0.0988908112,0.1832489222
2017,67,Belarus,5.568999767,1.15655756,1.444945216,0.6377142668,0.2954002619,0.1551375091,0.1563138217
2017,68,Libya,5.525000095,1.101803064,1.35756433,0.5201690197,0.4657332301,0.1520736665,0.09261021018
2017,69,Turkey,5.5,1.198274374,1.337753177,0.6376056075,0.3007405996,0.04669304192,0.0996715799
2017,70,Paraguay,5.493000031,0.9325373173,1.50728488,0.5792506933,0.4735077918,0.2241506577,0.09106591344
2017,71,"Hong Kong S.A.R., China",5.472000122,1.551674843,1.262790918,0.9430624247,0.4909686446,0.3744657934,0.2939337492
2017,72,Philippines,5.429999828,0.8576992154,1.253917575,0.4680090547,0.5852146745,0.1935134232,0.09933189303
2017,73,Serbia,5.394999981,1.069317579,1.258189797,0.6507846713,0.2087155282,0.2201258838,0.04090378061
2017,74,Jordan,5.335999966,0.9910123944,1.239088893,0.6045900583,0.4184211493,0.1721704602,0.1198032722
2017,75,Hungary,5.323999882,1.286011934,1.343133092,0.6877634525,0.1758635193,0.07840166241,0.03663693741
2017,76,Jamaica,5.31099987,0.9255793095,1.368218064,0.6410223842,0.4743072391,0.2338183373,0.05526778102
2017,77,Croatia,5.293000221,1.222556233,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311005
2017,78,Kosovo,5.278999805,0.9514843822,1.137853503,0.5414520502,0.2602879405,0.3199314475,0.05747161806
2017,79,China,5.272999763,1.081165791,1.160837412,0.7414155006,0.472787708,0.028806841,0.02279427461
2017,80,Pakistan,5.269000053,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.3154460192,0.1243480667
2017,81,Indonesia,5.262000084,0.9955385923,1.274444699,0.4923457205,0.4433234632,0.6117045879,0.01531713549
2017,82,Venezuela,5.25,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.06449112296
2017,83,Montenegro,5.236999989,1.121129036,1.238376498,0.6674646735,0.1949890554,0.1979110241,0.0881741941
2017,84,Morocco,5.235000134,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.03220995516,0.08776318282
2017,85,Azerbaijan,5.234000206,1.153601766,1.152400255,0.5407757759,0.3981558383,0.04526934028,0.1809875071
2017,86,Dominican Republic,5.230000019,1.079373837,1.402416706,0.5748737454,0.5525898337,0.1869678497,0.1139452532
2017,87,Greece,5.227000237,1.289487481,1.239414573,0.8101989031,0.09573125094,0,0.04328977689
2017,88,Lebanon,5.224999905,1.074987531,1.129624248,0.7350810766,0.288515985,0.2644507587,0.03751382977
2017,89,Portugal,5.195000172,1.315175295,1.367043018,0.7958435416,0.4984652996,0.09510271251,0.01586945169
2017,90,Bosnia and Herzegovina,5.18200016,0.9824094176,1.069335938,0.7051863074,0.2044031769,0.3288674951,0
2017,91,Honduras,5.181000233,0.7305731177,1.143944979,0.5825694799,0.3480798602,0.2361888736,0.07334545255
2017,92,Macedonia,5.175000191,1.064577937,1.207893014,0.6449481845,0.3259059787,0.2537609637,0.06027779356
2017,93,Somalia,5.151000023,0.02264318429,0.7211513519,0.1139891371,0.602126956,0.2916313112,0.2824103236
2017,94,Vietnam,5.073999882,0.7885475755,1.277491331,0.6521689892,0.5710555911,0.2349680513,0.08763323724
2017,95,Nigeria,5.073999882,0.7837562561,1.215770483,0.05691573024,0.3949525654,0.2309471965,0.02612156607
2017,96,Tajikistan,5.040999889,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.2489976436,0.1463771462
2017,97,Bhutan,5.011000156,0.8854163885,1.340126514,0.4958792925,0.5015376806,0.4740545452,0.1733803898
2017,98,Kyrgyzstan,5.004000187,0.5962200761,1.394238591,0.5534577966,0.4549433887,0.4285803735,0.039439179
2017,99,Nepal,4.961999893,0.4798201919,1.179283261,0.5041307807,0.4403059483,0.3940961659,0.07297554612
2017,100,Mongolia,4.954999924,1.027235866,1.493011236,0.5577834845,0.3941439688,0.3384642303,0.03290228918
2017,101,South Africa,4.828999996,1.054698706,1.384788632,0.1870800704,0.4792467356,0.1393623799,0.0725094974
2017,102,Tunisia,4.804999828,1.007265806,0.8683514595,0.613212049,0.2896806896,0.0496933572,0.08672314882
2017,103,Palestinian Territories,4.775000095,0.7162492275,1.155647159,0.5656669736,0.2547110617,0.1141731739,0.08928260207
2017,104,Egypt,4.735000134,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1286314428,0.1143813655
2017,105,Bulgaria,4.714000225,1.161459088,1.434379458,0.7082176805,0.2892317176,0.1131776944,0.01105153095
2017,106,Sierra Leone,4.709000111,0.3684209287,0.984136045,0.005564753897,0.318697691,0.2930409014,0.07109517604
2017,107,Cameroon,4.695000172,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.05130663142
2017,108,Iran,4.691999912,1.156873107,0.711551249,0.6393331885,0.2493226081,0.3872429132,0.0487610735
2017,109,Albania,4.644000053,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.2013129443,0.039864216
2017,110,Bangladesh,4.607999802,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.1237178594
2017,111,Namibia,4.573999882,0.9644343257,1.098470807,0.3386118114,0.5203035474,0.07713374496,0.09314697236
2017,112,Kenya,4.552999973,0.5604794621,1.067950726,0.3099883497,0.4527637661,0.4448603094,0.06464131922
2017,113,Mozambique,4.550000191,0.23430565,0.870701015,0.1066544354,0.4807910919,0.3222281039,0.1794363856
2017,114,Myanmar,4.545000076,0.3671105504,1.123235941,0.3975225687,0.5144920349,0.838075161,0.1888162047
2017,115,Senegal,4.534999847,0.4793090224,1.179691911,0.4093628526,0.3779222667,0.1834688932,0.115460448
2017,116,Zambia,4.513999939,0.6364067793,1.003187299,0.2578358948,0.4616034925,0.2495801449,0.07821355015
2017,117,Iraq,4.497000217,1.102710485,0.9786131978,0.50118047,0.2885555327,0.199637264,0.1072157547
2017,118,Gabon,4.465000153,1.198210239,1.155620217,0.3565785885,0.312328577,0.04378537834,0.0760467872
2017,119,Ethiopia,4.460000038,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.3126507401,0.1654557139
2017,120,Sri Lanka,4.440000057,1.009850144,1.259976387,0.6251308322,0.5612132549,0.4908635616,0.07365396619
2017,121,Armenia,4.375999928,0.9005967379,1.007483721,0.637524426,0.1983032674,0.08348809183,0.0266744215
2017,122,India,4.315000057,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.09222688526
2017,123,Mauritania,4.291999817,0.6484572887,1.27203083,0.2853492796,0.09609804302,0.2018700242,0.1369570047
2017,124,Congo (Brazzaville),4.290999889,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.1208521277,0.0796181336
2017,125,Georgia,4.285999775,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.05400881544,0.2516666353
2017,126,Congo (Kinshasa),4.28000021,0.0921023488,1.229023457,0.1914070249,0.2359613478,0.2464558333,0.06024135649
2017,127,Mali,4.190000057,0.4761804938,1.281473398,0.1693656743,0.3066137433,0.1833541989,0.1049702466
2017,128,Ivory Coast,4.179999828,0.6030489206,0.9047800303,0.04864216968,0.4477061927,0.2012374699,0.1300617754
2017,129,Cambodia,4.168000221,0.6017650962,1.006238341,0.4297834039,0.6333758235,0.3859229684,0.06810595095
2017,130,Sudan,4.138999939,0.6595166922,1.21400857,0.2909208238,0.01499585528,0.1823174506,0.08984751999
2017,131,Ghana,4.119999886,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.2569239438,0.02533636987
2017,132,Ukraine,4.096000195,0.8946519494,1.394537568,0.5759039521,0.1229747757,0.2700614631,0.02302947082
2017,133,Uganda,4.080999851,0.3814307153,1.129827738,0.2176326066,0.4431859553,0.3257660568,0.05706971884
2017,134,Burkina Faso,4.032000065,0.3502277136,1.043280005,0.2158442587,0.324367851,0.2508646846,0.120328106
2017,135,Niger,4.027999878,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.2286738455,0.1385729462
2017,136,Malawi,3.970000029,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.07271165401
2017,137,Chad,3.936000109,0.4380129874,0.9538558722,0.04113471508,0.1623420268,0.2161138505,0.05358188227
2017,138,Zimbabwe,3.875,0.375846535,1.083095908,0.1967637539,0.336384207,0.1891434938,0.09537538141
2017,139,Lesotho,3.808000088,0.5210212469,1.190095186,0,0.3906612992,0.1574972719,0.11909464
2017,140,Angola,3.795000076,0.8584281802,1.10441196,0.04986866564,0,0.09792649001,0.0697203353
2017,141,Afghanistan,3.79399991,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.3118709326,0.06115783006
2017,142,Botswana,3.766000032,1.122094154,1.221554995,0.3417555094,0.5051963329,0.09934844822,0.09858319908
2017,143,Benin,3.657000065,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.2079484612,0.06092901528
2017,144,Madagascar,3.644000053,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.2087325305,0.0672319755
2017,145,Haiti,3.602999926,0.3686102629,0.6404498219,0.27732113,0.03036985733,0.4892037809,0.09987214953
2017,146,Yemen,3.592999935,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.05676742271
2017,147,South Sudan,3.59100008,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133
2017,148,Liberia,3.532999992,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.03894824907
2017,149,Guinea,3.506999969,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177
2017,150,Togo,3.494999886,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.09566501528
2017,151,Rwanda,3.470999956,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139
2017,152,Syria,3.461999893,0.7771531343,0.3961026073,0.5005333424,0.08153944463,0.4936637282,0.1513471305
2017,153,Tanzania,3.348999977,0.5111358762,1.041989803,0.3645092845,0.3900177777,0.3542563617,0.06603510678
