Viol Location,Offense,Speed Limit,Officer Name,Vio Date,Vio Time,Original Bal
5800     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",8/2/2017,4:55:00 PM,206.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/2/2017,4:06:00 PM,256.1
6400     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/2/2017,3:46:00 PM,276.1
6800     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/2/2017,3:31:00 PM,191.1
2100   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"CASTANEDA, RAYMOND",8/2/2017,1:09:00 AM,311.1
6800     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",8/1/2017,7:43:00 AM,191.1
1800   NWMILITARY                                                                                            HY,SPEEDING  53 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",8/1/2017,6:56:00 AM,221.1
6700     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/1/2017,5:17:00 PM,196.1
6400     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/1/2017,4:57:00 PM,246.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/1/2017,4:42:00 PM,201.1
6600     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/1/2017,4:06:00 PM,206.1
6700     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/1/2017,3:34:00 PM,276.1
6700     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",8/1/2017,3:21:00 PM,276.1
6600     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",8/1/2017,12:59:00 PM,191.1
2100   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",8/1/2017,12:40:00 PM,201.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"WAGGONER, W.",8/1/2017,12:22:00 PM,206.1
2000   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",8/1/2017,11:34:00 AM,191.1
2100     MILITARY,SPEEDING  37 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",8/1/2017,10:57:00 AM,181.1
0001700  BLK JACKSON KELLER,SPEEDING  48 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/31/2017,8:16:00 PM,196.1
5700     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/31/2017,4:45:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/31/2017,3:24:00 PM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/31/2017,3:13:00 PM,266.1
0002200  BLK NW MILITARY,SPEEDING  52 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/31/2017,2:23:00 PM,216.1
0006200  BLK WEST AVENUE,SPEEDING  46 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/31/2017,11:42:00 AM,186.1
6400     WEST                                                                                                AV,SPEEDING  60 MPH in a  35 MPH zone,35,"ALCALA, NATHAN",7/31/2017,11:06:00 PM,256.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"DAVILA, J",7/31/2017,10:24:00 PM,286.1
100      HONEYSUCKLE,SPEEDING  55 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/30/2017,3:33:00 PM,231.1
1900   NWLOOP 410 EBML,SPEEDING  86 MPH in a  65 MPH zone,65,"DAVILA, J",7/29/2017,4:30:00 PM,236.1
1700   NWLOOP 410 EBML,SPEEDING  90 MPH in a  65 MPH zone,65,"CASTANEDA, RAYMOND",7/28/2017,11:07:00 PM,281.1
5500     BLANCO,SPEEDING  50 MPH in a  35 MPH zone,35,"CASTANEDA, RAYMOND",7/26/2017,12:23:00 AM,206.1
6700     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/25/2017,4:42:00 PM,206.1
2000   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/25/2017,4:27:00 PM,271.1
6300     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/25/2017,4:09:00 PM,196.1
2100   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/24/2017,5:04:00 PM,231.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/24/2017,4:51:00 PM,321.1
6700     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/24/2017,4:41:00 PM,206.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/24/2017,4:15:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/24/2017,3:43:00 PM,191.1
1700   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/24/2017,3:08:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  57 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/24/2017,12:28:00 PM,321.1
2100   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/24/2017,11:56:00 AM,226.1
6700     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/24/2017,11:20:00 AM,196.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/23/2017,3:55:00 PM,191.1
6700     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/23/2017,3:41:00 PM,226.1
6700     WEST                                                                                                AV,SPEEDING  54 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/23/2017,3:23:00 PM,276.1
6400     WEST                                                                                                AV,SPEEDING  53 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/22/2017,4:37:00 PM,221.1
5600     BLANCO                                                                                              RD,SPEEDING  51 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/22/2017,12:53:00 PM,211.1
5800     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/22/2017,12:11:00 PM,206.1
5700     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/22/2017,1:13:00 PM,196.1
5600     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/22/2017,1:05:00 PM,276.1
1600     JACKSON KELLER                                                                                      RD,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/21/2017,7:04:00 PM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/21/2017,12:31:00 PM,236.1
5800     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/20/2017,4:58:00 PM,196.1
5700     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/20/2017,3:41:00 PM,196.1
6400     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"MUNOZ, R.",7/20/2017,3:24:00 PM,201.1
5600     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/20/2017,3:13:00 PM,206.1
2200   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/19/2017,9:25:00 AM,211.1
5800     BLANCO                                                                                              RD,SPEEDING  53 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/19/2017,4:45:00 PM,221.1
5700     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/19/2017,4:35:00 PM,206.1
5700     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/19/2017,3:51:00 PM,196.1
5700     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/19/2017,2:56:00 PM,286.1
0001700NWMILITARY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/18/2017,5:26:00 PM,191.1
6700     WEST                                                                                                AV,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/18/2017,5:01:00 PM,186.1
1700   NWMILITARY                                                                                            HY,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/18/2017,4:47:00 PM,186.1
1900   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/18/2017,4:32:00 PM,271.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/18/2017,4:15:00 PM,191.1
2100   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",7/17/2017,9:34:00 AM,216.1
6600     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/17/2017,8:05:00 AM,206.1
6400     WEST                                                                                                AV,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/17/2017,5:09:00 PM,196.1
6800     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/17/2017,4:49:00 PM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/17/2017,4:13:00 PM,201.1
1100   NWLOOP 410 EBML,SPEEDING 101 MPH in a  65 MPH zone,65,"DAVILA, J",7/17/2017,11:06:00 PM,336.1
2100   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/17/2017,11:02:00 AM,291.1
6500     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",7/16/2017,8:36:00 AM,206.1
6500     WEST                                                                                                AV,SPEEDING  54 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",7/16/2017,7:00:00 AM,236.1
2100   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/15/2017,3:27:00 PM,211.1
1800     MILITARY,SPEEDING  50 MPH in a  35 MPH zone,35,"DAVILA, J",7/14/2017,3:10:00 PM,206.1
0005900  BLK BLANCO,SPEEDING  47 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/14/2017,12:27:00 PM,191.1
2000   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/13/2017,10:04:00 AM,196.1
6800     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/12/2017,4:56:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  51 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/12/2017,4:17:00 PM,291.1
6400     WEST                                                                                                AV,SPEEDING  49 MPH in a  40 MPH zone,40,"ZUNIGA, E.",7/12/2017,4:03:00 PM,181.1
6700     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/12/2017,3:54:00 PM,281.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/11/2017,5:09:00 PM,191.1
2000   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/11/2017,4:37:00 PM,281.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/11/2017,4:22:00 PM,216.1
2000   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/11/2017,3:40:00 PM,226.1
6200     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/10/2017,5:21:00 PM,241.1
6700     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/10/2017,4:55:00 PM,201.1
6400     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/10/2017,12:16:00 PM,201.1
6600     WEST                                                                                                AV,SPEEDING  51 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/10/2017,11:26:00 AM,221.1
2100     MILITARY,SPEEDING  45 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/10/2017,10:33:00 AM,181.1
6600     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/10/2017,1:57:00 PM,191.1
1800   NWMILITARY                                                                                            HY,SPEEDING  46 MPH in a  35 MPH zone,35,"SINGLETON, R.",7/9/2017,7:37:00 AM,186.1
1800   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"SINGLETON, R.",7/9/2017,7:26:00 AM,201.1
2100   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/9/2017,4:21:00 PM,226.1
6400     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",7/9/2017,3:36:00 PM,196.1
5800     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/8/2017,9:44:00 AM,206.1
5700     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/8/2017,9:21:00 AM,206.1
5800     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/8/2017,9:06:00 AM,206.1
1500     JACKSON KELLER                                                                                      RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/8/2017,8:45:00 AM,201.1
0005700  BLK BLANCO,SPEEDING  49 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/7/2017,12:06:00 PM,201.1
0005700  BLK BLANCO,SPEEDING  46 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/7/2017,11:56:00 AM,186.1
0005900  BLK BLANCO,SPEEDING  49 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/6/2017,12:20:00 PM,201.1
0005900  BLK BLANCO,SPEEDING  46 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/6/2017,11:37:00 AM,186.1
1700     JACKSON KELLER                                                                                      RD,SPEEDING  60 MPH in a  35 MPH zone,35,"CASTANEDA, RAYMOND",7/5/2017,6:11:00 AM,336.1
1900   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/5/2017,4:49:00 PM,201.1
1900     MILITARY,SPEEDING  49 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/5/2017,4:38:00 PM,201.1
6000     BLANCO                                                                                              RD,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/5/2017,4:08:00 PM,216.1
0005700  BLK BLANCO,SPEEDING  46 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/5/2017,1:48:00 PM,236.1
2000   NWMILITARY                                                                                            HY,SPEEDING  55 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",7/3/2017,4:49:00 PM,231.1
1400   NWLOOP 410 EBFR,SPEEDING  64 MPH in a  45 MPH zone,45,"WAGGONER, W.",7/3/2017,4:47:00 PM,236.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/3/2017,3:33:00 PM,191.1
1700   NWMILITARY                                                                                            HY,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/3/2017,3:19:00 PM,266.1
6700     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/3/2017,2:59:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",7/3/2017,2:51:00 PM,191.1
0001700  BLK JACKSON KELLER,SPEEDING  45 MPH in a  35 MPH zone,35,"COSSU, DANIEL",7/2/2017,12:55:00 PM,181.1
2200   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/2/2017,11:26:00 AM,206.1
5500     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/1/2017,9:53:00 AM,196.1
5700     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/1/2017,9:45:00 AM,196.1
2200   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/1/2017,3:40:00 PM,211.1
5600     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/1/2017,12:52:00 PM,276.1
5800     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/1/2017,12:40:00 PM,191.1
1800   NWMILITARY                                                                                            HY,SPEEDING  53 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/1/2017,12:04:00 PM,301.1
5800     BLANCO                                                                                              RD,SPEEDING  55 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/1/2017,11:02:00 AM,231.1
2100   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/1/2017,11:01:00 AM,196.1
1500     JACKSON KELLER                                                                                      RD,SPEEDING  46 MPH in a  35 MPH zone,35,"SIEMENS, J.",7/1/2017,10:35:00 AM,186.1
6600     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",7/1/2017,1:42:00 PM,266.1
2100   NWMILITARY                                                                                            HY,SPEEDING  53 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/30/2017,8:37:00 AM,271.1
2100   NWLOOP 410 EBML,SPEEDING  81 MPH in a  65 MPH zone,65,"SINGLETON, R.",6/30/2017,3:17:00 AM,211.1
5700     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/30/2017,12:52:00 PM,196.1
5700     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/30/2017,12:45:00 PM,186.1
0001200  BLK LOCKHILL SELMA,SPEEDING  47 MPH in a  35 MPH zone,35,"COSSU, DANIEL",6/30/2017,12:32:00 PM,191.1
2100   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/30/2017,12:19:00 PM,286.1
5800     BLANCO                                                                                              RD,SPEEDING  51 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/30/2017,1:53:00 PM,211.1
5800     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/30/2017,1:43:00 PM,191.1
6600     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/29/2017,5:24:00 PM,286.1
2100   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/29/2017,3:38:00 PM,206.1
5800     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/29/2017,2:46:00 PM,196.1
2200   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/29/2017,2:41:00 PM,191.1
5800     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/29/2017,2:28:00 PM,191.1
1800     LOCKHILL SELMA                                                                                      RD,SPEEDING  49 MPH in a  35 MPH zone,35,"MUNOZ, R.",6/28/2017,8:42:00 AM,201.1
1900     LOCKHILL SELMA                                                                                      RD,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/28/2017,8:26:00 AM,271.1
6700     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/28/2017,5:35:00 PM,191.1
6400     WEST                                                                                                AV,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/28/2017,5:27:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING  51 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/28/2017,5:12:00 PM,211.1
6400     WEST                                                                                                AV,SPEEDING  49 MPH in a  35 MPH zone,35,"MUNOZ, R.",6/28/2017,4:56:00 PM,306.1
2000   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/28/2017,4:19:00 PM,221.1
1700   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/28/2017,3:51:00 PM,216.1
6600     WEST                                                                                                AV,SPEEDING  51 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/27/2017,7:50:00 AM,211.1
6700     WEST                                                                                                AV,SPEEDING  54 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/27/2017,4:44:00 PM,226.1
5700     BLANCO                                                                                              RD,SPEEDING  55 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/27/2017,4:15:00 PM,231.1
5800     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/27/2017,3:48:00 PM,191.1
1700   NWMILITARY                                                                                            HY,SPEEDING  54 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/27/2017,3:43:00 PM,226.1
5800     BLANCO                                                                                              RD,SPEEDING  48 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/27/2017,3:24:00 PM,196.1
1700   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/27/2017,3:21:00 PM,216.1
5800     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/27/2017,3:10:00 PM,186.1
6700     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/27/2017,2:03:00 PM,271.1
1400   NWMILITARY                                                                                            HY,SPEEDING  49 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",6/27/2017,12:29:00 PM,211.1
1800   NWMILITARY                                                                                            HY,SPEEDING  52 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/27/2017,12:13:00 PM,216.1
2000   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",6/27/2017,11:35:00 AM,196.1
6600     WEST                                                                                                AV,SPEEDING  54 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/27/2017,10:39:00 AM,226.1
6600     WEST,SPEEDING  50 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",6/27/2017,1:33:00 PM,206.1
6400     BLANCO                                                                                              RD,SPEEDING  66 MPH in a  35 MPH zone,35,"TOMBLIN, GARY",6/26/2017,6:01:00 AM,361.1
1700     JACKSON KELLER                                                                                      RD,SPEEDING  46 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/26/2017,4:04:00 PM,211.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/26/2017,3:50:00 PM,206.1
6800     WEST                                                                                                AV,SPEEDING  57 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/26/2017,3:37:00 PM,241.1
6400     WEST                                                                                                AV,SPEEDING  54 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/26/2017,3:23:00 PM,226.1
6000     BLANCO                                                                                              RD,SPEEDING  46 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/26/2017,1:45:00 PM,186.1
6500     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",6/25/2017,9:36:00 AM,286.1
6500     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",6/25/2017,9:31:00 AM,216.1
2100   NWMILITARY                                                                                            HY,SPEEDING  48 MPH in a  35 MPH zone,35,"LEMMON, MATTHEW",6/25/2017,8:50:00 PM,196.1
2200   NWLOOP 410 EBML,SPEEDING  81 MPH in a  65 MPH zone,65,"CRAWFORD, TONY",6/25/2017,8:06:00 AM,211.1
1700   NWLOOP 410 EBFR,SPEEDING  60 MPH in a  45 MPH zone,45,"LEMMON, MATTHEW",6/25/2017,5:08:00 PM,241.1
2200   NWMILITARY                                                                                            HY,SPEEDING  53 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",6/24/2017,9:21:00 AM,301.1
2000   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/24/2017,11:33:00 AM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"ZUNIGA, E.",6/24/2017,11:12:00 AM,206.1
6400     WEST                                                                                                AV,SPEEDING  47 MPH in a  35 MPH zone,35,"SINGLETON, R.",6/23/2017,8:45:00 AM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"SINGLETON, R.",6/23/2017,7:56:00 AM,321.1
2100   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"SINGLETON, R.",6/23/2017,7:43:00 AM,271.1
2299   NWMILITARY                                                                                            HY,SPEEDING  50 MPH in a  35 MPH zone,35,"SINGLETON, R.",6/23/2017,7:34:00 AM,206.1
1200     JACKSON KELLER                                                                                      RD,SPEEDING  52 MPH in a  35 MPH zone,35,"SINGLETON, R.",6/23/2017,7:06:00 AM,296.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",6/23/2017,1:24:00 PM,286.1
5800     BLANCO                                                                                              RD,SPEEDING  49 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/22/2017,3:59:00 PM,281.1
5800     BLANCO                                                                                              RD,SPEEDING  50 MPH in a  35 MPH zone,35,"SIEMENS, J.",6/22/2017,2:49:00 PM,216.1
6400     WEST                                                                                                AV,SPEEDING  50 MPH in a  35 MPH zone,35,"FAWCETT, DAVID",6/22/2017,12:34:00 PM,286.1
1800   NWMILITARY                                                                                            HY,SPEEDING  47 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/21/2017,8:57:00 AM,191.1
6000     BLANCO                                                                                              RD,SPEEDING  47 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/21/2017,7:40:00 AM,191.1
1900   NWMILITARY                                                                                            HY,SPEEDING  51 MPH in a  35 MPH zone,35,"CRAWFORD, TONY",6/21/2017,3:36:00 PM,211.1
